index,state,item,file,result,type,ds_result,qwen_result,llama_result,no_static_result,repair_result,fp_no_static
190,,check before updating state variable with same value,src/PrelaunchPoints.sol,true,3.6,true,true,true,true,true
191,,check before updating state variable with same value,src/PrelaunchPoints.sol,true,3.6,false,true,true,true,false
192,,check before updating state variable with same value,src/PrelaunchPoints.sol,true,3.6,true,true,true,true,true
193,,State variables should be cached in stack variables rather than re-reading them from storage,src/PrelaunchPoints.sol,true,3.2,false,false,false,false,false
194,,Pack the variables into fewer storage slots by re-ordering the variables or reducing their sizes,src/PrelaunchPoints.sol,false,3.4,false,false,false,true,false
195,,Using bools for storage incurs overhead,src/PrelaunchPoints.sol,true,3.7,true,true,true,false,false
196,,use inline assembly for arithmetic operations,src/PrelaunchPoints.sol,partially true,4.1,false,false,false,false,false
197,,use inline assembly for arithmetic operations,src/PrelaunchPoints.sol,partially true,4.1,true,false,false,false,false
198,,use inline assembly for arithmetic operations,src/PrelaunchPoints.sol,partially true,4.1,flase,false,false,false,false
199,expression reduction,use inline assembly for arithmetic operations,src/PrelaunchPoints.sol,true,4.1,true,false,true,true,pt
200,state variable,State variables should be cached in stack variables rather than re-reading them from storage,src/PrelaunchPoints.sol,true,3.2,true,true,true,true,true
201,expression reduction,Functions guaranteed to revert when called by normal users can be marked payable,src/PrelaunchPoints.sol,true,1.1,true,true,true,true,true
202,expression reduction,Functions guaranteed to revert when called by normal users can be marked payable,src/PrelaunchPoints.sol,false,1.1,true,true,true,false,false
203,efficient calculation,++i costs less gas compared to i++ or i += 1 (same for --i vs i-- or i -= 1),src/PrelaunchPoints.sol,true,2.3,true,true,false,true,true
204,expression reduction,Using private rather than public for constants saves gas,src/PrelaunchPoints.sol,true,2.5,true,true,true,true,true
